1,2,3,4,11
1,2,5,6,14
1,2,12,15,18
1,3,5,13,18
1,3,8,9,14
1,4,6,13,14
1,4,7,9,18
1,5,8,12,16
1,6,7,10,17
1,7,11,13,16
1,8,15,17,18
1,9,10,15,16
1,10,11,12,17
2,3,6,16,17
2,3,9,11,15
2,4,5,6,7
2,4,7,8,16
2,4,10,12,13
2,5,6,10,15
2,5,8,13,17
2,7,8,10,18
2,9,12,13,14
2,9,14,15,17
2,11,12,16,18
3,4,5,15,17
3,4,14,16,18
3,5,7,9,12
3,6,8,12,15
3,6,9,10,11
3,7,10,14,15
3,7,11,13,17
3,8,10,12,16
4,5,10,11,14
4,6,11,12,15
4,8,9,10,13
4,8,14,17,18
4,9,13,16,17
5,7,13,15,16
5,8,11,14,15
5,9,11,16,17
5,9,12,17,18
6,7,8,9,16
6,7,11,14,18
6,8,11,13,18
6,9,12,13,18
6,10,14,16,18
7,12,14,16,17
8,11,12,13,14
10,13,15,17,18
